stair.thisTrialN,stair.stepSize,stair.intensity,thisRow.t,notes,trial.started,fixation.started,grating.started,key_resp.started,fixation.stopped,grating.stopped,trial.stopped,corrAns,tilt,key_resp.corr,stair.response,key_resp.rt,participant,session,date,expName,psychopyVersion,frameRate,expStart,
33,0.5,1.5,44.14554310007952,,44.12999620009214,44.14554310007952,44.62947880011052,44.62947880011052,44.64603940001689,44.929679499939084,45.34679600014351,left,-1.5,1,1,0.7080714998301119,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
34,0.5,1.5,45.36224199994467,,45.346860700054094,45.36224199994467,45.862841699970886,45.862841699970886,45.862841699970886,46.16285110008903,46.56332610012032,right,1.5,1,1,0.6919879000633955,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
35,0.5,1.0,46.578853900078684,,46.56339640007354,46.578853900078684,47.0796145000495,47.0796145000495,47.0796145000495,47.37907289993018,47.76355169992894,right,1.0,1,1,0.6825546999461949,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
36,0.5,1.0,47.779280100017786,,47.763621400110424,47.779280100017786,48.27900340012275,48.27900340012275,48.27900340012275,48.57914160005748,48.97945290012285,left,-1.0,1,1,0.6953055998310447,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
37,0.5,1.0,48.99555790005252,,48.97951720003039,48.99555790005252,49.478926700074226,49.478926700074226,49.496011100010946,49.77913479995914,49.88019940000959,right,1.0,1,1,0.3852954001631588,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
38,0.5,1.0,49.89608870004304,,49.880268400069326,49.89608870004304,50.39639130001888,50.39639130001888,50.39639130001888,50.69577440014109,51.07956030010246,left,-1.0,1,1,0.6740896999835968,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
39,0.5,1.0,51.09597110003233,,51.07962630013935,51.09597110003233,51.5794317999389,51.5794317999389,51.59601860004477,51.879166200058535,52.31343000009656,left,-1.0,1,1,0.7323249999899417,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
40,0.5,1.0,52.32958790007979,,52.313495400128886,52.32958790007979,52.81244110013358,52.81244110013358,52.829745300114155,53.112427399959415,53.81375780003145,right,1.0,0,0,0.997332600178197,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
41,0.5,1.5,53.82925740000792,,53.813836799934506,53.82925740000792,54.32947860006243,54.32947860006243,54.32947860006243,54.628944700118154,55.013593500014395,right,1.5,1,1,0.6782078999094665,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
42,0.5,1.5,55.02986750006676,,55.01366259995848,55.02986750006676,55.51268359995447,55.51268359995447,55.52890320005827,55.812223500106484,56.24744089995511,left,-1.5,1,1,0.7337026000022888,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
43,0.5,1.5,56.26258140010759,,56.247508300002664,56.26258140010759,56.762740599922836,56.762740599922836,56.762740599922836,57.06199790001847,57.430198800051585,left,-1.5,1,1,0.6642293001059443,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
44,0.5,1.0,57.445553600089625,,57.43027010001242,57.445553600089625,57.92956160008907,57.92956160008907,57.94609729992226,58.2289035001304,59.180256200022995,left,-1.0,1,1,1.2406673999503255,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
45,0.5,1.0,59.19596570008434,,59.18032160005532,59.19596570008434,59.69564740010537,59.69564740010537,59.69564740010537,59.99700230010785,61.56303800013848,right,1.0,1,1,1.865478000137955,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
46,0.5,1.0,61.57913989992812,,61.56310410005972,61.57913989992812,62.062276399927214,62.062276399927214,62.078853900078684,62.36234729993157,62.66320289997384,right,1.0,1,1,0.5940137999132276,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
47,0.5,1.0,62.67936210008338,,62.66327399993315,62.67936210008338,63.16250600013882,63.16250600013882,63.178940900135785,63.46246780012734,63.77993330010213,right,1.0,1,1,0.6036109998822212,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
48,0.5,1.0,63.79591570002958,,63.779997900128365,63.79591570002958,64.27919279993512,64.27919279993512,64.29568070010282,64.57943270006217,65.2130984000396,left,-1.0,1,1,0.9216392000671476,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
49,0.5,1.0,65.22926639998332,,65.21316320006736,65.22926639998332,65.71265470003709,65.71265470003709,65.72945440001786,66.0123705000151,66.7137174999807,right,1.0,1,1,0.9982678999658674,100286,001,2024-09-06_10h38.06.346,staircase,2024.1.5,None,2024-09-06 10h38.12.624921 +0530,
