seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,1,0,3,3,0,0,0,0,0,26.27134209999349,,26.25872799998615,26.27134209999349,26.27134209999349,26.27134209999349,26.27134209999349,26.27134209999349,28.772159899934195,['1'],[2.488791299983859],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,0,3,3,0,0,1,1,1,28.78818589996081,,28.772650599945337,28.78818589996081,28.78818589996081,28.78818589996081,28.78818589996081,28.78818589996081,29.85592949995771,['4'],[1.0543524998938665],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,3,3,0,0,2,2,2,29.87140669999644,,29.856423999997787,29.87140669999644,29.87140669999644,29.87140669999644,29.87140669999644,29.87140669999644,31.155427200021222,['2'],[1.2811980999540538],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,3,3,0,0,3,3,3,31.17188499995973,,31.15579250000883,31.17188499995973,31.17188499995973,31.17188499995973,31.17188499995973,31.17188499995973,31.972282200003974,['3'],[0.7985411001136526],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,0,3,3,0,1,0,4,0,31.988144399947487,,31.972671299939975,31.988144399947487,31.988144399947487,31.988144399947487,31.988144399947487,31.988144399947487,32.855468899942935,['1'],[0.8610733000095934],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,0,3,3,0,1,1,5,1,32.87127809994854,,32.855937300017104,32.87127809994854,32.87127809994854,32.87127809994854,32.87127809994854,32.87127809994854,33.855449299910106,['4'],[0.9711463999701664],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,0,3,3,0,1,2,6,2,33.871476299944334,,33.855823099962436,33.871476299944334,33.871476299944334,33.871476299944334,33.871476299944334,33.871476299944334,34.60568619996775,['2'],[0.7271741000004113],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,0,3,3,0,1,3,7,3,34.62168009998277,,34.606082499958575,34.62168009998277,34.62168009998277,34.62168009998277,34.62168009998277,34.62168009998277,35.755926899961196,['3'],[1.1273876999039203],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
random,3,0,3,3,0,,,,,,,,,,,,,,,,,413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,1,1,0,4,0,0,0,0,0,35.77137339999899,,35.75922090001404,35.77137339999899,35.77137339999899,35.77137339999899,35.77137339999899,35.77137339999899,36.72282479994465,['1'],[0.9494577000150457],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,3,1,0,4,0,0,1,1,1,36.73789939994458,,36.72340619994793,36.73789939994458,36.73789939994458,36.73789939994458,36.73789939994458,36.73789939994458,38.17277309997007,['4'],[1.4322942999424413],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,2,1,0,4,0,0,2,2,2,38.18806580000091,,38.17319200001657,38.18806580000091,38.18806580000091,38.18806580000091,38.18806580000091,38.18806580000091,38.989257699926384,['2'],[0.7916503999149427],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
patterned,4,1,0,4,0,0,3,3,3,39.00483709992841,,38.98974340001587,39.00483709992841,39.00483709992841,39.00483709992841,39.00483709992841,39.00483709992841,39.82229579996783,['3'],[0.8088471000082791],[None],413167,001,2024-12-03_02h30.02.008,solo_project,2024.1.5,None,2024-12-03 02h30.09.442791 +0530,
