seq,target,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,instructions.started,text.started,instructions.stopped,trial.started,t,sq1.started,sq2.started,sq3.started,sq4.started,key_resp.started,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
patterned,1,12,0,60,0,83.64147019991651,,,,,83.62753539998084,1,83.84145619999617,83.84145619999617,83.84145619999617,83.84145619999617,83.84145619999617,84.69366730004549,1,0.8496477999724448,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,12,1,61,1,84.708496700041,,,,,84.69482299988158,3,84.90797779988497,84.90797779988497,84.90797779988497,84.90797779988497,84.90797779988497,85.62548709986731,3,0.7106933000031859,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,12,2,62,2,85.64136120001785,,,,,85.62623360008001,2,85.8413410000503,85.8413410000503,85.8413410000503,85.8413410000503,85.8413410000503,86.57573939999565,2,0.7239925998728722,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,12,3,63,3,86.59126270003617,,,,,86.57650669990107,4,86.79145519994199,86.79145519994199,86.79145519994199,86.79145519994199,86.79145519994199,87.94230880006216,4,1.139515900053084,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,12,4,64,4,87.95783880003728,,,,,87.94302910007536,4,88.15794870001264,88.15794870001264,88.15794870001264,88.15794870001264,88.15794870001264,89.04411219991744,4,0.8747145999222994,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,13,0,65,0,89.05793039989658,,,,,89.04526889999397,1,89.25791589985602,89.25791589985602,89.25791589985602,89.25791589985602,89.25791589985602,89.90922989998944,1,0.6431903999764472,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,13,1,66,1,89.92447420000099,,,,,89.90998109988868,3,90.12463169987313,90.12463169987313,90.12463169987313,90.12463169987313,90.12463169987313,91.09626249992289,3,0.9665351000148803,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,13,2,67,2,91.1104337000288,,,,,91.09743690001778,2,91.31038829986937,91.31038829986937,91.31038829986937,91.31038829986937,91.31038829986937,92.14602970005944,2,0.8216699999757111,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,13,3,68,3,92.16063309996389,,,,,92.14719250006601,4,92.36055710003711,92.36055710003711,92.36055710003711,92.36055710003711,92.36055710003711,93.0470428999979,4,0.6774802999570966,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,13,4,69,4,93.0603624000214,,,,,93.0481954999268,3,93.26110760006122,93.26110760006122,93.26110760006122,93.26110760006122,93.26110760006122,93.91264409990981,3,0.6468340998981148,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,14,0,70,0,93.92750700004399,,,,,93.91335869999602,1,94.12780099990778,94.12780099990778,94.12780099990778,94.12780099990778,94.12780099990778,94.76308729988523,1,0.6259271998424083,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,14,1,71,1,94.7784855000209,,,,,94.76387250004336,3,94.97754279989749,94.97754279989749,94.97754279989749,94.97754279989749,94.97754279989749,96.49689229996875,3,1.5088837000075728,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,14,2,72,2,96.51106370007619,,,,,96.49840050004423,2,96.71038499986753,96.71038499986753,96.71038499986753,96.71038499986753,96.71038499986753,97.39653240004554,2,0.6834053001366556,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,14,3,73,3,97.41082359990105,,,,,97.39771729987115,4,97.6103966999799,97.6103966999799,97.6103966999799,97.6103966999799,97.6103966999799,98.44612800003961,4,0.8308961999136955,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,14,4,74,4,98.46080560004339,,,,,98.44729009992443,4,98.66040299995802,98.66040299995802,98.66040299995802,98.66040299995802,98.66040299995802,99.29722289997153,4,0.6291412999853492,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,15,0,75,0,99.31083089997992,,,,,99.29839459992945,1,99.51071750000119,99.51071750000119,99.51071750000119,99.51071750000119,99.51071750000119,100.24245869996957,1,0.7063418000470847,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,15,1,76,1,100.25787109998055,,,,,100.24324540002272,3,100.45778529997915,100.45778529997915,100.45778529997915,100.45778529997915,100.45778529997915,101.3085225999821,3,0.837868900038302,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,15,2,77,2,101.32452309993096,,,,,101.30922799999826,2,101.50811269995756,101.50811269995756,101.50811269995756,101.50811269995756,101.50811269995756,102.1267657999415,2,0.6032187000382692,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,15,3,78,3,102.14139329991303,,,,,102.12761309999041,4,102.34144099988043,102.34144099988043,102.34144099988043,102.34144099988043,102.34144099988043,103.12619389989413,4,0.7823640999849886,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,15,4,79,4,103.14179320004769,,,,,103.12695529987104,4,103.34130209987052,103.34130209987052,103.34130209987052,103.34130209987052,103.34130209987052,103.89242050005123,4,0.5482012999709696,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,16,0,80,0,103.90839529992081,,,,,103.89315539994277,1,104.10785000002943,104.10785000002943,104.10785000002943,104.10785000002943,104.10785000002943,104.74467250006273,1,0.63390769995749,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,16,1,81,1,104.7585539999418,,,,,104.74598750006407,3,104.95790040004067,104.95790040004067,104.95790040004067,104.95790040004067,104.95790040004067,106.24489079997875,3,1.2761285998858511,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,16,2,82,2,106.25813709991053,,,,,106.24605169985443,2,106.45803450001404,106.45803450001404,106.45803450001404,106.45803450001404,106.45803450001404,107.41028729989193,2,0.9370017999317497,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,16,3,83,3,107.42462789989077,,,,,107.41147869988345,4,107.6246299999766,107.6246299999766,107.6246299999766,107.6246299999766,107.6246299999766,108.70965490001254,4,1.0734971999190748,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
random,0,16,4,84,4,108.72439330001362,,,,,108.71191269997507,1,108.92469320003875,108.92469320003875,108.92469320003875,108.92469320003875,108.92469320003875,110.04311159998178,1,1.106641999911517,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,1,17,0,85,0,110.0579550000839,,,,,110.0443492999766,1,110.25781129999086,110.25781129999086,110.25781129999086,110.25781129999086,110.25781129999086,110.70930400001816,1,0.44946060003712773,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,3,17,1,86,1,110.72447129990906,,,,,110.7101537999697,3,110.92436499986798,110.92436499986798,110.92436499986798,110.92436499986798,110.92436499986798,111.825468899915,3,0.8861569999717176,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,2,17,2,87,2,111.8411334999837,,,,,111.82619150006212,2,112.04141699988395,112.04141699988395,112.04141699988395,112.04141699988395,112.04141699988395,112.67580819991417,2,0.6238873999100178,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
patterned,4,17,3,88,3,112.69119299994782,,,,,112.67652989993803,4,112.8919224999845,112.8919224999845,112.8919224999845,112.8919224999845,112.8919224999845,113.72546759992838,4,0.8234689000528306,None,003,001,2024-12-04_00h19.52.617,solo_project,2024.1.5,None,2024-12-04 00h20.43.323867 +0530,
