reward_today,future_reward,delay,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,fixation.started,text.started,key_resp.started,fixation.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
40,55,62,8,0,56,3,147.3017649000003,,147.28858690000015,147.3017649000003,148.30187360000036,148.30187360000036,148.30187360000036,150.9702629000003,l,2.6568984000005003,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,8,1,57,0,150.98539410000012,,150.9714410000006,150.98539410000012,151.98540090000006,151.98540090000006,151.98540090000006,154.15376689999994,t,2.15454359999967,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
78,80,162,8,2,58,6,154.16850729999987,,154.15485080000053,154.16850729999987,155.16862860000037,155.16862860000037,155.16862860000037,157.10283810000055,t,1.9291903000003003,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
67,75,119,8,3,59,5,157.11846049999986,,157.10348799999974,157.11846049999986,158.1185374000006,158.1185374000006,158.1185374000006,160.72093190000032,t,2.584938400000283,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
27,50,21,8,4,60,2,160.73529690000032,,160.72203040000022,160.73529690000032,161.7355120000002,161.7355120000002,161.7355120000002,163.7703760000004,l,2.0177389000000403,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
15,35,13,8,5,61,1,163.78488889999971,,163.77145759999985,163.78488889999971,164.78614819999984,164.78614819999984,164.78614819999984,166.18703300000016,t,1.3921596999998656,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,8,6,62,4,166.20172999999977,,166.18811189999997,166.20172999999977,167.2020037000002,167.2020037000002,167.2020037000002,168.78759880000052,l,1.5694100999999137,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
40,55,62,9,0,63,3,168.80180440000004,,168.78873420000036,168.80180440000004,169.8018990999999,169.8018990999999,169.8018990999999,171.02193979999993,t,1.214034300000094,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
49,60,89,9,1,64,4,171.03585070000008,,171.02321230000052,171.03585070000008,172.03568050000013,172.03568050000013,172.03568050000013,172.2373561000004,l,0.18858780000027764,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
11,30,7,9,2,65,0,172.25226620000012,,172.23844180000015,172.25226620000012,173.25266530000044,173.25266530000044,173.25266530000044,173.53731719999996,l,0.27780470000016066,None,p4,001,2024-11-21_17h43.50.963,delay discounting,2024.1.5,None,2024-11-21 17h44.02.306354 +0530,
