trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,num_distr,Fixation.started,target.started,mouse.started,trial.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
32,0,32,0,73.29746380000142,,73.22801449999679,10,73.29746380000142,73.29746380000142,0.04681030003121123,75.0907722999691,[-0.2942708333333333],[-0.07291666666666667],[1],[0],[0],[1.8166785999783315],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
33,0,33,0,75.11741030000849,,75.09371819999069,5,75.11741030000849,75.11741030000849,0.0167109000030905,77.29266079998342,[0.3255208333333333],[0.42578125],[1],[0],[0],[2.1820827000192367],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
34,0,34,0,77.33132659998955,,77.299794999999,5,77.33132659998955,77.33132659998955,0.02566450001904741,79.49126509996131,[0.4661458333333333],[-0.15755208333333334],[1],[0],[0],[2.1669055000529625],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
35,0,35,0,79.54517250001663,,79.4965240000165,10,79.54517250001663,79.54517250001663,0.03792939998675138,82.60973389999708,[-0.37109375],[0.3203125],[1],[0],[0],[3.07571210002061],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
36,0,36,0,82.67230099998415,,82.6163693999988,10,82.67230099998415,82.67230099998415,0.04122109996387735,85.06586269999389,[0.4192708333333333],[-0.21614583333333334],[1],[0],[0],[2.4091752000385895],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
37,0,37,0,85.13366300001508,,85.06902290001744,10,85.13366300001508,85.13366300001508,0.04511659999843687,88.76567819999764,[0.3932291666666667],[0.14973958333333334],[1],[0],[0],[3.6517903999774717],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
38,0,38,0,88.83737490000203,,88.7697909999988,10,88.83737490000203,88.83737490000203,0.04711899999529123,91.00966380001046,[-0.4830729166666667],[-0.005208333333333333],[1],[0],[0],[2.1930296000209637],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
39,0,39,0,91.08211019996088,,91.01618759997655,10,91.08211019996088,91.08211019996088,0.050613800005521625,94.94302979996428,[-0.053385416666666664],[0.4817708333333333],[1],[0],[0],[3.877089999965392],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
40,0,40,0,94.98903820000123,,94.94632950000232,10,94.98903820000123,94.98903820000123,0.031804799975361675,96.89275870000711,[0.3151041666666667],[0.07942708333333333],[1],[0],[0],[1.9146481999778189],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
41,0,41,0,96.96930609998526,,96.90052129997639,10,96.96930609998526,96.96930609998526,0.05181859998265281,99.09369119995972,[0.20572916666666666],[-0.2708333333333333],[1],[0],[0],[2.142417100025341],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
42,0,42,0,99.16026319999946,,99.10013360000448,10,99.16026319999946,99.16026319999946,0.039020199968945235,104.5045294999727,[0.109375],[0.2903645833333333],[1],[0],[0],[5.365393400017638],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
43,0,43,0,104.59775979997357,,104.51216639997438,10,104.59775979997357,104.59775979997357,0.06167759996606037,106.84375719999662,[0.3463541666666667],[-0.3020833333333333],[1],[0],[0],[2.2709018000168726],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
44,0,44,0,106.87178669997957,,106.84869770001387,5,106.87178669997957,106.87178669997957,0.01599699998041615,109.1786337000085,[0.09635416666666667],[-0.45703125],[1],[0],[0],[2.3141003000200726],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
45,0,45,0,109.23457329999655,,109.18607029999839,5,109.23457329999655,109.23457329999655,0.03371590003371239,111.84549109998625,[-0.2955729166666667],[0.16145833333333334],[1],[0],[0],[2.6266962999943644],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
46,0,46,0,111.89964079996571,,111.85285620001378,5,111.89964079996571,111.89964079996571,0.03228089999174699,114.22954059997573,[-0.061197916666666664],[-0.4596354166666667],[1],[0],[0],[2.3454785000067204],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
47,0,47,0,114.27134529995965,,114.23768289998407,5,114.27134529995965,114.27134529995965,0.02745550003601238,116.14503139996668,[-0.23307291666666666],[0.26171875],[1],[0],[0],[1.8810036999639124],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
48,0,48,0,116.19198529998539,,116.15099479997298,5,116.19198529998539,116.19198529998539,0.023577300016768277,118.07924529997399,[-0.421875],[0.06640625],[1],[0],[0],[1.905489100026898],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
49,0,49,0,118.11200680001639,,118.08363000000827,5,118.11200680001639,118.11200680001639,0.018373900034930557,120.02873560000444,[-0.0859375],[0.4140625],[1],[0],[0],[1.9270808000001125],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
50,0,50,0,120.08301339996979,,120.03442569996696,5,120.08301339996979,120.08301339996979,0.032477499975357205,122.24551360000623,[-0.13671875],[-0.0078125],[1],[0],[0],[2.1793706999742426],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
51,0,51,0,122.28371899999911,,122.24966069997754,5,122.28371899999911,122.28371899999911,0.022957900015171617,123.81294819997856,[-0.2890625],[-0.015625],[1],[0],[0],[1.5406768000102602],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
52,0,52,0,123.90321209997637,,123.82038019999163,10,123.90321209997637,123.90321209997637,0.06372899998677894,126.08103190001566,[0.15625],[-0.4557291666666667],[1],[0],[0],[2.1979085999773815],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
53,0,53,0,126.16793759999564,,126.08837939996738,10,126.16793759999564,126.16793759999564,0.05768900003749877,127.68219469999894,[0.17708333333333334],[-0.19140625],[1],[0],[0],[1.5370725000393577],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
54,0,54,0,127.72850859997561,,127.68636180000613,5,127.72850859997561,127.72850859997561,0.024984699964988977,129.58172740001464,[-0.4739583333333333],[0.22005208333333334],[1],[0],[0],[1.8704715000349097],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
55,0,55,0,129.63500770000974,,129.5891451999778,5,129.63500770000974,129.63500770000974,0.03184720000717789,132.1137370999786,[0.3424479166666667],[-0.26953125],[1],[0],[0],[2.493832400010433],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
56,0,56,0,132.14980650000507,,132.12073660001624,5,132.14980650000507,132.14980650000507,0.02172189997509122,134.84684909996577,[-0.3059895833333333],[-0.3658854166666667],[1],[0],[0],[2.705465200007893],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
57,0,57,0,134.88442269997904,,134.8516369999852,5,134.88442269997904,134.88442269997904,0.020869300002232194,137.2642033000011,[0.3111979166666667],[0.2981770833333333],[1],[0],[0],[2.3921842999989167],['target'],Participant4,001,2024-10-10_18h45.12.578,D3_exp5_VisualSearchExperiment,2024.1.5,None,2024-10-10 18h45.31.200637 +0530,
