delay,freq,condition,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,thisRow.t,notes,trial.started,polygon.started,polygon_2.started,key_resp.started,polygon.stopped,trial.stopped,key_resp.keys,key_resp.rt,key_resp.duration,beep.started,sound_1.started,sound_1.stopped,beep.stopped,response.started,text.started,textbox.started,button.started,response.stopped,textbox.text,button.numClicks,button.timesOn,button.timesOff,polygon_2.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart
0.7,1000,exp,18,9,225,8,1065.56093159999,,1065.54803899999,1065.56093159999,1066.56077069999,1066.56077069999,1066.56077069999,1067.21230729998,space,0.649961999995867,None,1067.21417309999,1067.92740006667,1068.237421,1068.22654810001,1068.22656720001,1068.237421,1068.237421,1068.237421,1069.57322289998,500,1,[1.3456392999796662],[1.3456447999924421],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,18,10,226,9,1069.58848410001,,1069.57667529999,1069.58848410001,1070.58840029998,1070.58840029998,1070.58840029998,1071.62288839999,space,1.0281665000075,None,1071.6246255,1071.73826316666,1072.05234609998,1072.03668739999,1072.0367075,1072.05234609998,1072.05234609998,1072.05234609998,1074.28679119999,200,1,[2.2490344000107143],[2.2490476999955717],1071.58836170001,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,18,11,227,6,1074.30210259999,,1074.2903238,1074.30210259999,1075.30242339999,1075.30242339999,1075.30242339999,1076.4867873,space,1.16818340000464,None,1076.48854759999,1076.60236136665,1076.90719189998,1076.89660539999,1076.89662509999,1076.90719189998,1076.90719189998,1076.90719189998,1078.77482699999,300,1,[1.8769846999784932],[1.8769950999994762],1076.30249499998,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,400,unexp,19,0,228,0,1078.79057769998,,1078.77845739998,1078.79057769998,1079.79016059998,1079.79016059998,1079.79016059998,1080.4749725,space,0.683271100017009,None,1080.476716,1080.59053486665,1080.89722280001,1080.8866271,1080.88664739998,1080.89722280001,1080.89722280001,1080.89722280001,1083.09811779999,300,1,[2.2103676999977324],[2.2103726000059396],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,19,1,229,4,1083.11373859999,,1083.10164919999,1083.11373859999,1084.1138128,1084.1138128,1084.1138128,1084.44817319998,space,0.330976700002793,None,1084.4499259,1084.86381916667,1085.18879849999,1085.16665979999,1085.16667959999,1085.18879849999,1085.18879849999,1085.18879849999,1088.63977799998,300,1,[3.471978100016713],[3.471983600000385],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,1000,exp,19,2,230,11,1088.65565209999,,1088.64327949999,1088.65565209999,1089.65559829999,1089.65559829999,1089.65559829999,1090.82272120001,space,1.16469050000887,None,1090.82440899999,1091.53883436666,1091.84737229999,1091.8366528,1091.83667230001,1091.84737229999,1091.84737229999,1091.84737229999,1094.2314161,300,1,[2.3936293000006117],[2.393634200008819],1090.65521279999,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,19,3,231,3,1094.24717349999,,1094.23493609999,1094.24717349999,1095.2470648,1095.2470648,1095.2470648,1095.4479684,space,0.194648000004236,None,1095.44968669998,1095.56382556667,1095.88893089999,1095.86656619998,1095.86658929999,1095.88893089999,1095.88893089999,1095.88893089999,1097.30651979998,400,1,[1.4387867000186816],[1.4387968000082765],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.4,1000,exp,19,4,232,10,1097.32202999998,,1097.31003389999,1097.32202999998,1098.32220629999,1098.32220629999,1098.32220629999,1098.7565056,space,0.417125699983444,None,1098.75854360001,1099.17212456666,1099.47739329998,1099.46649699999,1099.46651719999,1099.47739329998,1099.47739329998,1099.47739329998,1100.99491049998,400,1,[1.5273721999838017],[1.5273772999935318],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.1,1000,exp,19,5,233,6,1101.01082639999,,1100.9983677,1101.01082639999,1102.0107017,1102.0107017,1102.0107017,1102.41149179998,space,0.397733200021321,None,1102.4132328,1102.52742276667,1102.83680279998,1102.8265155,1102.8265349,1102.83680279998,1102.83680279998,1102.83680279998,1104.32367459999,500,1,[1.4961109999858309],[1.4961172000039369],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
0.7,1000,exp,19,6,234,8,1104.33840909999,,1104.3271619,1104.33840909999,1105.3384254,1105.3384254,1105.3384254,1105.7727339,space,0.430774599983124,None,1105.7745266,1106.48833086665,1106.80213629999,1106.78656389998,1106.78658299998,1106.80213629999,1106.80213629999,1106.80213629999,1109.42020369999,300,1,[2.6325901999953203],[2.6325951000035275],,p2,1,2024-11-14_13h35.22.855,intentional binding,2024.1.5,None,2024-11-14 13h35.33.887253 +0530
